jml_lantai,harga,ruangan,luas (m2)
0,525000,3,48.03
10,599000,4,60
3,330000,2,26
2,299000,1,24.5
0,550000,2,49.5
0,445000,3,53.5
2,1056600,2,58.7
3,440000,2,38
2,475000,3,47
4,245000,1,17.5
3,460000,3,50
2,361000,3,56.5
7,450000,3,47
4,495000,3,47.5
5,520000,3,47
4,649000,3,61.7
10,674900,3,50
8,695000,2,38.9
2,475000,3,47
6,368500,2,37
4,420000,2,46
2,550000,2,44
2,519000,4,60.5
4,595000,2,48
3,702000,2,53
1,608000,3,62.1
3,355000,2,42
3,700000,2,54
3,750000,2,50
0,550000,2,49
2,555000,3,45
2,350000,1,20
0,367000,1,27.25
0,445000,3,53.5
5,587000,2,48
2,475000,2,48.1
9,410000,2,36.5
4,390000,2,41
3,589999,2,40
3,605000,3,49
0,550000,2,49.5
0,550000,2,49.5
2,470000,2,39
4,539000,3,48
0,550000,2,49.5
3,539000,3,48
3,289000,1,24.5
3,460000,3,50
8,495000,3,46.2
0,490000,5,82.5
1,568000,2,38
3,495000,3,50
4,465000,2,51
4,352500,2,37.5
4,750000,2,50
3,330000,1,26
2,510000,3,49.13
3,275000,1,20
2,535000,2,36
4,429000,4,54.5
4,468750,2,37.5
3,399700,2,38
4,330000,1,26.9
3,328500,1,23.38
2,380000,2,37.5
3,460000,3,50
2,475000,3,47
3,420000,2,37.96
10,336000,1,24.5
3,499000,3,50
4,329000,1,23
8,360000,1,28.1
3,750000,2,49
0,490000,5,82.5
1,595000,3,62.1
6,368500,2,37
8,485000,3,46
3,506051.8,3,48.2
2,899000,3,74
2,465000,2,35.5
4,848000,4,83
2,300000,2,37
10,419000,2,35
0,415000,2,47
1,580000,3,62.1
4,299000,1,18.92
8,495000,3,46.2
4,475000,3,48
2,475000,2,48.1
3,430000,4,64.8
4,579000,4,54
3,702000,2,54
8,480000,3,46.2
4,439000,2,37.5
3,329900,1,26
1,600000,3,46
4,330000,1,26.9
1,485000,3,48
10,369000,2,37
2,399000,2,28
8,444000,2,37
0,749000,3,64.5
6,310000,1,24.5
4,535000,3,48
2,475000,3,47
10,599000,4,60
4,550000,3,49
0,399900,3,45
4,399000,2,36.7
4,352500,2,37
4,370000,3,53
4,750000,2,50
10,369990,1,20
4,635000,2,46
0,225000,1,11
3,335000,2,36
0,435000,2,37.1
8,519000,2,37.4
1,310000,1,28
1,489000,2,48.1
1,478000,2,43.5
10,295000,1,20
0,570000,3,59.36
9,579000,3,56.3
4,245000,1,17.5
0,355000,3,55.04
10,293000,1,20
3,335000,1,25
2,499000,1,37.7
0,429000,3,47
4,409000,3,53.8
0,479000,3,48
10,349000,1,20
1,420000,1,36.2
4,389000,2,36.28
4,352500,2,37.5
4,330000,1,26.9
4,245000,1,17.5
8,495000,3,47
7,325000,1,27
7,325000,1,27
6,560000,3,55.9
0,465000,2,38.3
10,599000,1,26.2
4,425000,2,37.4
0,367000,1,28
10,515000,2,39.55
5,459000,3,47
1,333000,1,24.5
10,560000,2,38.6
3,479000,3,53.5
3,457000,3,50
1,569000,2,37.9
1,600000,4,47
7,320000,1,25
2,950000,3,74
4,490000,2,38
8,465500,3,47
3,310000,2,36.42
2,598000,3,47
0,419000,3,67.48
0,435000,2,37
0,390000,2,35.21
1,779000,4,65
3,457000,3,50
2,666000,3,70
3,457000,3,50
1,480000,2,36
4,425000,2,37
3,408000,3,46.87
10,430000,2,36.3
4,445000,2,37
10,365000,1,27.33
4,469000,4,55
4,490000,2,38
3,415000,2,40
1,549000,4,56
5,429000,2,37.87
7,617500,3,47.5
5,590000,3,48.1
1,330000,2,37.6
2,598000,3,47
3,449700,2,36
1,469900,2,38.2
2,598000,3,47
2,469000,2,48
1,559000,2,46.3
5,450000,1,29.09
2,598000,3,47
3,480000,2,49.1
10,440000,2,38.8
5,440000,2,38
1,409000,2,36
6,560000,3,55.9
3,495000,3,50.01
10,650000,1,27.6
4,550000,3,48.16
8,540000,3,54.5
9,370000,2,37
10,450000,2,47
2,640000,3,48
3,450000,2,35.9
1,490000,4,59
4,420000,2,46
1,1180000,3,74
4,290000,2,38
3,457000,3,50
2,620000,2,27
5,278000,1,19.5
2,420000,3,47
2,890000,3,74
1,549000,4,56
2,427000,2,37
1,515000,2,37.5
4,480000,2,43.9
3,328500,2,24
4,720000,3,69
0,466000,3,48.8
6,585000,3,42.94
3,299000,2,48
10,624987,2,44
1,255000,1,20.37
5,530000,3,57.6
3,599000,4,64
0,360000,2,43
0,350000,2,38
0,399000,2,38
3,499900,3,56.04
0,265000,1,20
4,385000,2,44
3,379000,2,37.2
8,330000,2,37
5,950000,3,60
5,550000,3,56
3,360000,2,37.1
10,425000,2,36.1
7,667000,2,48.58
6,449000,3,48
2,555000,2,44.1
3,485000,3,53
3,648700,2,54
1,455000,2,38
0,349990,1,40
1,330001,2,45
2,340000,2,38
2,490000,3,54
1,630000,2,54
6,560000,3,56
4,460000,2,35.1
8,325000,2,36.9
4,415000,3,57
4,480000,3,48.4
3,360000,2,37.1
4,445000,4,64
4,479000,3,47.8
1,459000,3,59.35
4,340000,2,47
4,365000,2,40.8
1,690000,2,55.4
5,368000,1,24.72
2,555000,3,45
2,420000,2,38.5
3,845000,4,65
3,379000,2,49.3
5,480000,3,45
0,220000,1,23
2,439000,3,47
5,625000,3,70
3,360000,2,37.5
5,390000,2,37
4,344000,1,23
4,475000,3,46.5
8,396500,1,27
8,499000,3,48
6,480000,2,41
0,315000,2,37
3,328500,2,23.5
0,355000,2,47
0,367000,1,27.25
4,315000,1,31
2,307000,2,36.6
1,369000,3,47
0,569600,4,64
5,590000,2,38
1,465000,3,46.5
6,575000,3,43
2,379000,2,37.5
1,520000,2,44
3,550000,3,55.69
3,359000,2,46.7
10,515000,2,39.5
2,390000,3,47.3
2,425000,3,46
0,399000,3,47
8,325000,2,37
10,385000,2,35
2,399000,2,47
8,310000,2,37.22
5,318000,2,37
4,349000,2,36
7,425000,2,41.43
7,398500,2,45
1,439000,3,47
3,619000,3,66
8,419000,3,49
1,369000,3,47
0,350000,2,37
4,499000,2,39
0,409000,3,47
0,359000,2,38.88
3,499000,4,56
8,462500,2,37
3,339000,1,27.5
0,530000,3,53
1,529000,2,46
3,500000,3,56
8,570000,2,49
10,265000,2,30.8
7,639999,3,53.9
3,575000,3,48
3,539000,2,50.2
4,435000,2,44.4
0,748800,2,47
6,698700,3,57
1,299000,1,26
3,570000,4,63.78
0,367000,1,27.25
0,279000,2,26
2,560000,2,44.1
2,250000,2,32.2
9,559000,3,63
2,470000,3,51.18
0,285000,2,45
3,339000,2,37
3,599000,3,48.5
3,499900,3,56.04
3,285000,1,24.4
0,367000,1,27.25
3,420000,2,37.4
3,468000,3,60
5,399000,2,37.5
8,462500,2,37
3,243000,1,24.3
0,525000,4,58
0,349000,2,46.6
2,479000,2,36.3
4,375000,2,37.7
2,255000,2,32.2
7,405000,1,29.6
10,368000,1,31.52
4,299000,2,34.1
4,269000,1,39.86
2,495000,3,66
7,465000,2,53
1,445000,4,58.5
5,390000,2,37
2,399000,2,46
4,365000,2,38.5
3,445000,2,38
1,455000,2,38
4,389000,3,51
9,409900,2,38
4,520000,4,65
9,235000,1,25
0,465000,3,55
1,555000,2,47
2,339000,2,36
3,410000,1,37.4
4,435000,2,44.4
2,255000,2,32.2
0,655400,4,58
1,420000,1,29
4,385000,3,56
7,449000,2,42
6,585000,3,42.94
0,649000,3,58.7
2,470000,3,51.17
1,285000,1,24.6
3,470000,2,39
1,535000,2,47
3,289900,1,32
0,279997,2,42
4,460000,2,35
2,520000,3,49.58
10,649000,3,45.2
2,655000,3,70
3,739000,2,72
5,378000,1,28
5,549000,3,62.9
3,450000,2,35.9
3,520000,2,50
1,460000,2,38.5
0,320000,2,36.44
3,295000,1,24.5
2,579000,2,40
1,248000,1,17
2,280000,1,24
6,585000,3,43
9,495000,3,48.07
9,249000,1,23.62
3,564300,2,56.5
9,235000,1,25
7,629999,3,53.9
5,280000,1,33.7
4,345000,3,48
3,590000,2,52
0,632200,4,58
1,475000,3,57
6,320000,1,36
0,340000,1,31.2
2,510000,4,51
4,335000,3,47.2
0,354000,2,43
3,579000,3,53
10,450000,2,39.2
1,450000,3,48.65
4,480000,3,48.4
1,570000,3,52.7
1,299000,1,25.6
10,585000,3,48
10,409000,2,42.3
10,760000,4,63
5,320000,1,37
8,310000,1,28
3,344901,2,45
7,569000,3,48
3,360000,2,34
4,410000,3,59
0,551000,4,69
3,350000,2,40.8
4,539000,3,48
10,400000,3,46.22
3,399999,2,27.5
0,429000,2,37.1
10,325000,1,28
4,340000,1,29
0,299000,2,30
1,189000,2,34.37
4,293000,2,38
10,515000,2,39.55
3,535000,3,56
0,279000,2,32
4,305000,2,36
3,450000,2,41.53
4,450000,2,42
2,530000,4,51
1,439000,2,41
1,399000,4,56.1
1,330000,2,36
3,560000,4,53
6,449500,3,60.1
4,275000,2,37.6
0,449000,3,54.9
2,339000,2,39
1,475000,3,56
8,645000,4,65
3,459000,2,44
10,570000,3,57
9,242000,1,32
7,540000,3,48
0,501000,3,56.2
1,1199000,4,105
3,390000,3,67
6,380000,2,38
2,249000,2,32.2
3,610000,2,50
0,530000,3,48
2,610000,4,61
4,469000,4,55
0,292000,2,40.8
2,660000,3,70
10,358000,2,49.4
3,489000,3,52.8
3,410000,2,27.4
3,520000,3,47.7
4,279000,3,45
1,378000,3,46.64
1,540000,3,48
5,624000,3,48.5
4,487000,2,41
2,400000,3,54
3,490000,2,49
4,375000,3,47.2
2,455000,2,36.3
3,290000,1,20
0,590000,3,58
0,419000,3,48.3
4,500000,2,43
5,529000,3,45.56
2,550000,3,59
2,469000,2,48.1
0,349000,2,38
1,569600,3,71.2
6,320000,1,25
7,520000,1,43
5,480000,3,45
4,615000,4,73
0,632500,2,50
1,575000,3,57.8
2,379000,2,37
0,486000,3,48.8
2,427000,2,37.17
5,340000,1,19
1,570000,2,37
3,500000,3,56
1,489000,3,47.6
4,448400,3,44
4,340000,1,29
10,414000,3,46.7
2,255000,2,32.2
1,549000,4,56
2,419000,2,39
0,420000,2,38.2
2,470000,3,51.18
1,385000,3,49
5,429000,2,37
4,245000,1,25.2
2,650000,3,57
4,330000,2,36.46
8,462000,3,51.4
9,415000,2,38.6
4,359999,2,50
4,280000,2,37
0,390000,2,51.52
10,620000,3,56
3,399000,3,47
1,518000,2,47.1
3,399000,2,36.3
4,375000,2,42
1,349000,2,50
1,555000,3,60
2,359000,2,36.5
4,499000,2,37.2
4,409000,2,27
0,619000,3,53
0,409000,2,38
3,470000,3,47
2,500000,2,42
2,308000,1,35
10,349000,2,50.92
10,399000,4,54
3,319000,2,38.5
3,549000,3,48
10,269000,1,24
5,367000,2,35
2,675000,3,45
0,279000,2,26
3,650000,5,57
4,543000,5,67
1,435000,2,36.4
4,280000,2,36
6,430000,2,36
1,475000,3,45.4
3,410000,2,37
10,515000,2,39.55
4,290000,2,37
2,507000,3,50
6,559000,4,56
0,439000,3,39
4,349000,2,37
3,385000,2,48.4
2,404000,3,46
4,440000,3,53
5,529000,3,45.56
0,439000,3,47.5
3,598000,2,48.1
9,289000,2,38
3,435000,2,44.4
2,297000,1,29.8
3,459000,2,44
6,420000,2,37
8,520000,2,47
6,499000,5,69.7
10,210000,1,25
6,320000,1,25
2,349000,2,41.97
1,550000,2,47
0,499000,3,43
5,497500,3,45
6,649000,3,48
3,615000,3,50
2,495000,3,66
6,575000,3,59.7
2,555000,2,44
10,506500,2,39
0,340000,1,31.2
6,885000,4,70.2
6,750000,3,51
2,660000,3,63
1,315000,2,35.91
2,285000,1,18.8
10,368000,1,31.52
1,439000,2,41
2,309000,2,37
7,430000,2,44
3,299000,2,48
0,530000,3,53
4,499000,2,39
8,387000,3,55.4
2,515000,2,41.24
0,455000,3,69.4
1,750000,5,80
6,549876,3,57
4,539000,4,64.73
4,415000,3,58
1,439000,2,48
7,535000,2,43
5,624000,3,48
2,379000,2,37.5
8,325000,2,37
4,499000,2,39
10,649000,2,45.2
4,535000,5,64
2,404000,3,46
2,255000,2,32.2
3,328500,2,23.5
0,588000,3,69.47
5,500000,2,39.5
2,535000,4,64
0,360000,2,43
10,515000,2,39.55
1,589900,3,48
2,340000,2,38
0,625000,5,65
4,290000,2,36.6
1,482000,2,35
3,279900,1,23.85
10,360000,2,46.75
10,369000,3,45.23
4,539000,3,48
3,468000,3,60
3,384999,3,49
7,483000,3,66.36
4,239000,1,27
4,315000,1,36
5,570000,3,52.26
2,472000,3,51
5,449000,2,38
3,225001,1,32
5,624000,3,48
4,489000,2,42.3
0,369000,3,47.2
3,498900,3,46
9,544000,3,64
0,360000,2,43
3,499000,3,68
5,480000,3,44.62
4,575000,3,64
3,470000,2,38.2
2,470000,3,51.18
10,520000,3,68.26
7,625000,3,54
2,255000,2,32.18
0,675000,3,58.7
4,349000,3,48.5
4,660000,5,57.3
9,245000,1,23.71
9,450000,3,49.5
4,529000,4,64
6,575000,3,59.7
5,394000,3,58.2
8,435000,2,41.43
3,520000,3,51.5
9,299000,2,41
2,495000,3,66
5,345000,2,37.8
5,449999,4,76.69
10,419000,2,37
3,499900,3,56.04
2,348000,3,40.25
2,732000,3,62.75
3,425000,5,63.5
4,445000,2,46
6,560000,3,56
2,699999,2,44
1,260000,1,24.5
4,395000,3,47
9,440000,3,39
5,624000,3,48
0,345000,2,37
0,420000,2,44
5,620000,2,38.8
0,369000,2,38
5,449000,2,43.94
10,349000,2,36
2,660000,3,63
5,624000,3,48.1
0,527000,4,56
1,680000,4,58
7,569000,4,48
2,375000,2,38
1,195000,1,20
3,360000,2,34
4,459000,4,64
10,585000,3,48
6,585000,3,43
4,539000,3,48
4,279000,2,45
4,450000,3,52.7
1,530000,2,53.43
2,359999,2,36.6
10,375000,3,54.7
10,435000,2,37
3,450000,2,37
3,360000,2,34
1,499000,2,44.5
1,590000,5,60
8,325000,2,36.9
3,389000,2,38.09
0,439000,3,47
2,427000,2,36
5,220000,1,21
7,485000,3,49.2
5,480000,3,44
2,379000,2,52
10,515000,2,39.55
6,330000,1,27
10,590000,3,53
8,720000,4,64
4,380000,3,51.5
8,462000,3,51.4
3,305000,2,38
9,544000,3,64
10,409000,3,45
1,437000,3,47
4,439000,2,39
1,420000,2,42
10,514700,2,40
6,309000,2,38.1
3,499000,3,56.04
0,349000,1,27
3,349000,2,51.7
0,417000,3,53
0,360000,1,20
2,240000,1,26
6,575000,3,59.7
6,560000,3,56
6,419000,2,36.9
4,365000,2,49
9,330000,2,35.4
1,395000,3,47.5
1,450000,2,46.13
0,450000,3,48.9
0,499000,2,46.5
0,339900,1,31
7,366000,1,30.9
2,275000,1,25.5
1,549000,2,50
0,269000,2,38
8,464700,3,51
4,470000,3,47
6,560000,3,56
3,435000,2,42.3
5,399000,3,47
4,440000,3,55.5
1,455000,3,47
0,410000,2,35.78
1,419000,2,38
6,465000,3,48.5
3,470000,3,58
4,575000,3,64
6,450000,2,38
2,379000,2,37.5
3,499900,3,56
0,269900,2,38
3,420000,2,37
3,425000,5,63.5
4,359000,2,35.8
2,250000,2,32.2
10,410000,2,37
0,459999,2,42
4,480000,3,48.5
4,339000,2,37
3,339000,2,45
4,589050,3,56.1
6,698700,3,57
2,250000,2,32.2
0,290000,1,20
4,359000,2,44.9
7,409000,1,31
1,435000,2,46.7
3,569900,3,46.6
10,255000,1,24.7
7,575000,4,46.87
0,530000,3,53
10,450000,2,39.2
0,415000,2,38.2
5,450000,3,44
4,360000,2,50
5,580000,3,46.69
2,575000,2,49.43
5,480000,3,44.85
9,249000,1,25
1,375000,2,38
1,475000,2,41
5,624000,3,48
2,295000,2,35.4
4,270000,1,40
3,360000,2,37.1
0,390000,2,35.78
4,589050,4,56.1
0,590000,3,60
3,569000,4,64
10,497000,3,49.8
9,580000,2,41.5
4,339000,3,48
3,436000,2,49
10,385000,2,36.3
2,350000,2,38
3,655000,6,65
6,320000,1,25
3,339000,1,27.27
1,420000,2,42
2,250000,2,32.2
3,249000,1,29.73
3,569000,4,63.8
6,585000,3,43
2,369900,2,38
0,439000,3,47.5
0,380000,1,26
3,479000,2,47
3,459000,2,44
9,525000,3,48.6
1,455000,3,47
10,499000,2,51
2,277000,1,24
2,497000,2,39.29
0,488000,3,50
0,460000,2,42
0,449000,3,72
0,439000,3,47.5
2,389000,2,46
1,449000,2,39.6
3,339900,2,37.2
8,419000,2,31
3,529000,3,53
3,328500,2,23.5
5,367000,1,24.7
0,549000,3,49
3,499900,3,56.04
4,380000,3,47.7
10,390000,4,38
9,525000,3,48.6
7,249000,1,20
4,550000,3,49
4,355000,1,27
0,525000,2,42
4,355000,1,27
2,516000,2,42
2,345000,3,47.2
10,399000,2,36.9
1,455000,2,41.6
6,469000,2,37.3
0,449500,2,41.5
2,500000,2,42
4,559000,3,47
3,380000,2,37.2
4,405000,3,47
2,349000,2,36.4
6,469000,2,37.3
1,412500,3,49
2,360000,3,49
2,550000,2,44.1
3,380000,2,37.2
6,550000,3,57.8
10,330000,2,38
2,510000,2,42
4,349000,1,27
4,498000,3,51
3,362000,2,38
5,469000,2,45.9
0,469000,3,49
7,469000,2,38
2,560000,3,49
6,469000,2,37.3
2,349000,2,36
8,400000,2,37
9,290000,1,24.5
1,430000,3,48
7,670000,2,48.07
4,550000,2,35.6
4,395000,3,47
7,489000,3,51.5
3,610000,5,55.6
4,529000,2,46.2
6,469000,2,37.3
4,579000,3,47
3,490000,3,47.4
7,670000,2,48.1
6,469000,2,37.3
1,450000,3,51.5
6,469000,2,37.3
6,560000,3,55.9
4,475000,2,38
9,294000,1,24
8,549000,2,36
10,560000,3,52
4,360000,2,39.9
3,359000,2,44
6,469000,2,37
3,460000,2,41.5
4,459000,3,55.6
4,649999,3,65
3,362000,2,38
9,539000,3,49
7,468999,2,37.5
6,469000,2,37.3
0,529000,3,50.1
4,585000,4,57.26
10,440000,2,39
10,539000,3,51
6,445000,3,51
6,760000,4,63.41
3,298000,2,38
10,275000,1,24.5
4,499000,3,60
0,499000,3,53.1
2,390000,2,38
1,369000,3,47
8,349000,1,28.3
0,529000,4,56
0,504450,3,53.1
9,515000,3,48.6
5,1150000,4,72.9
4,620000,2,46
4,440000,3,53
0,539000,3,47
4,550000,3,60
3,590000,2,51.5
5,624000,3,49
10,515000,3,54
9,390000,2,42
7,672000,2,48.58
9,285000,1,25
6,465000,3,49
4,445000,4,64
3,339000,1,27.27
6,650000,3,48
0,514450,3,53.1
6,289000,1,30
3,453000,3,53
9,293000,2,37.7
2,470000,3,51.17
6,650000,3,48
2,668000,4,65.4
3,455000,2,38
7,508000,3,51
2,668000,4,65.39
2,507000,2,39
1,479000,2,41.1
10,339000,2,40
9,515000,3,48.6
2,520000,3,56
9,434000,2,46.5
5,680000,3,53.3
10,539000,3,51
6,505000,3,48
9,580000,2,41.3
10,650000,3,57.2
6,505000,3,48
2,750000,3,62
1,310000,2,37.53
3,559000,2,39
6,650000,3,48
9,625000,2,38.8
6,369700,1,32
4,445000,4,64
3,559000,2,39
2,489000,3,42
4,720000,3,69
4,405000,3,47.4
4,350000,2,39
1,444000,3,47
10,589000,3,48.5
0,514450,3,53.1
3,470000,3,58
3,349000,2,38
2,629000,2,52.83
8,379000,2,38
8,335000,1,28
2,470000,3,44
1,452000,3,47
9,499000,2,42
9,515000,3,48.6
9,579900,2,41
10,280000,2,33
7,289500,2,21
1,455000,3,47
10,519000,3,57
2,668000,4,65.4
9,525000,3,48.6
7,508000,3,51
9,545000,3,57
4,539000,3,48
6,505000,3,48
2,480000,2,39
10,453873,2,26.7
2,668000,4,65.3
2,668000,4,65.4
6,650000,3,48
5,700000,3,53.3
8,470000,2,41.9
0,499000,3,53.1
0,504450,3,53
10,445000,2,38
3,349900,3,49
10,650000,3,48
8,335000,1,28
1,444000,3,47
10,420000,2,27
5,624000,3,48.47
0,355000,2,36
6,370000,1,32
2,529000,2,40
3,470000,3,58
6,648000,3,48
1,519000,2,45
9,299000,1,22.4
5,539000,2,46.63
9,433000,2,46
0,425000,1,28
5,649000,3,57.71
5,649000,3,57.71
9,417000,2,38.32
5,700000,3,53.3
2,668000,4,65.4
2,309000,2,35.7
10,699000,3,49
4,460000,3,53
5,440000,2,37.9
4,499000,3,50
5,680000,3,53.3
7,508000,3,51
10,580000,2,41.3
9,315000,1,30.5
0,450000,3,47.5
7,404000,1,29.6
1,514350,2,38.1
7,390000,1,31
0,345000,1,30
1,460000,3,47
10,796800,5,103.97
6,370000,1,32
3,420000,2,35.5
8,549000,3,59.5
5,425000,3,53.5
10,329900,1,28
10,375000,3,49.9
0,329000,2,47.26
0,570000,3,54.46
4,264000,2,36.6
4,525450,3,56.5
10,589999,4,75
2,430000,2,38.13
3,490000,3,48
2,360000,3,49
1,450000,2,38
0,345000,1,30
10,329000,1,28.5
0,539000,3,47
0,458000,2,44.29
10,590000,4,74.8
7,390000,1,31
4,375530,3,47
7,415000,2,42
6,759900,4,63
2,645000,3,58
0,389000,2,38.19
4,359999,1,32
9,339000,3,47
1,549000,4,56
0,480000,3,54
8,480000,2,41.5
8,445000,2,37.1
9,309000,1,30
7,390000,1,31
0,345000,1,30
6,329000,2,34.02
7,375000,2,38
9,295000,1,30.5
3,420000,2,35.3
5,539000,2,46
0,540000,3,53
10,469000,4,47
8,470000,2,41.5
1,619000,3,52
2,470000,2,38
9,315000,1,30.5
9,270000,1,20
3,420000,2,35.3
10,597000,4,75
7,399000,1,29.6
3,390000,2,42
0,675000,3,58
5,529000,3,50
9,678000,3,64.46
2,450000,3,49
0,349000,1,29.7
8,320000,1,25
8,480000,2,41.5
2,369000,3,47
9,339000,3,47
0,480000,2,42.2
0,320000,2,38.19
0,520000,2,41.5
6,370000,1,31.5
2,480000,3,57
0,345000,1,30
10,469000,2,59
6,370000,1,32
9,580000,2,41.3
7,480000,3,47.8
10,329000,1,28.3
8,398000,1,30
2,580000,4,63.6
7,489000,3,51.5
9,435000,3,39
2,530000,3,57
2,480000,3,57
4,424000,4,68.1
10,750000,3,53.84
3,490000,3,48
0,429000,2,37.5
10,700000,3,51
7,469900,2,42
3,379000,2,37
10,602000,4,75
2,390000,2,37.17
0,439000,3,51.64
1,549000,4,56
0,458000,2,44
9,315000,1,30.5
5,480000,3,45
2,399999,3,47.6
10,459000,3,46.4
0,499000,3,53.19
4,305000,1,28.08
6,454000,3,56
10,540000,3,54
3,550000,3,56
8,490000,3,47.9
3,380000,2,38
3,380000,2,37
4,980000,5,92
0,489000,3,45.43
0,575000,3,57.6
9,315000,1,30.5
1,549000,3,50
9,302000,2,37
6,420000,3,49
9,499000,5,41.32
4,545000,2,43
0,675000,3,55
4,359000,3,47
8,315000,1,25.04
6,470000,3,56.8
0,369000,2,36.3
0,475000,3,47
4,545000,2,43
1,539000,2,46
3,299000,1,25.22
3,379000,2,37
6,480000,3,57
0,529000,3,50
2,450000,3,49
7,565000,4,55.65
7,550000,2,43
9,305000,2,37
0,472000,3,53.1
0,472000,3,53.1
1,320000,2,30
6,420000,3,49
10,540000,3,54
0,626000,3,57
2,620000,4,63
8,335000,1,28.3
5,330000,1,26
4,339000,3,48
3,520000,3,52.4
4,990000,5,92
10,385000,2,31
3,424000,2,38
4,350000,2,36.7
9,329000,1,31
4,248850,1,28
8,313000,1,25
3,247000,1,26
9,542000,3,57
5,525000,3,57
2,539000,3,57
6,380000,3,49
7,540000,3,55
4,290000,2,36.6
5,525000,3,57
3,590000,4,72
10,520000,3,51
2,310000,1,26
9,380000,2,41
2,315000,2,30
0,430000,2,43
5,595000,3,63.5
9,575000,3,61
0,459000,2,44.3
4,379000,3,46.9
8,473000,3,45.7
2,620000,4,63.5
3,390000,2,38
5,518000,3,50
4,980000,5,92
8,490000,3,48
8,490000,3,48
8,399000,2,38
3,498500,3,44
1,540000,2,57
9,545000,3,57
10,580000,3,53
0,435000,2,48.3
1,549000,3,50
10,455000,3,52
6,435000,3,49
2,380000,2,39
4,399000,2,47
5,525000,3,57
10,540000,3,50.7
2,620000,4,63
3,429000,2,38.59
7,540000,3,54.42
6,420000,3,49
3,429000,3,64.9
0,380000,3,47
0,320000,2,37
6,420000,3,49
3,465000,2,49.5
1,505000,2,46.7
3,595000,3,47.6
0,460000,2,53
8,610000,4,64
7,490000,3,51.5
3,770000,3,56
3,498500,3,44
4,460000,2,41
3,369000,2,37.5
4,299999,1,24
2,525000,3,49
9,380000,2,41
1,359000,3,47.6
3,617500,3,56.2
6,420000,3,49
6,420000,3,49
1,480000,2,47.5
3,424000,2,38.2
1,245000,1,26
7,490000,3,51.5
9,419000,3,50
6,479000,3,56.5
2,550000,3,55
4,545000,2,43
10,599000,3,56
0,500000,3,56.3
2,430000,3,49.3
8,783900,4,67
0,299000,2,37.5
1,530000,3,53.15
2,419000,2,46
3,299900,1,25.5
4,475000,3,51.48
8,399000,2,38
2,319000,2,30
6,489000,3,61.5
10,649000,3,58.03
9,640000,3,62.8
1,195000,1,25.9
6,520000,3,50
3,498500,3,43.9
3,520000,3,51
10,649000,3,58.03
10,415000,2,42
0,422970,3,47
2,725000,4,64.4
2,569000,2,49.3
4,480000,2,47
10,415000,2,42
4,235000,1,26
2,417000,2,42
7,440000,3,53
3,449000,3,53
3,520000,3,51
3,660000,3,70
4,525000,2,42
0,436000,2,49.5
9,580000,2,42
1,359000,3,47.3
6,499000,2,41
1,559000,3,53.15
1,470000,4,64.9
5,689000,4,64
3,498500,3,43.83
5,380000,2,46.4
2,319000,3,47.7
1,490000,3,48
0,320000,2,38.1
1,460000,2,38
5,429000,2,46.4
5,549999,3,52.26
4,310000,2,37.53
2,295000,2,34
3,520000,3,50.7
2,358000,2,33.6
7,600000,3,48.2
8,500000,2,37
3,588000,3,55
8,440000,2,46.4
4,539000,3,48.5
3,529000,3,53
3,639000,4,66.5
10,540000,3,51
2,569000,3,59
3,619000,4,63.5
6,400000,3,58.1
4,539000,3,48
8,365000,2,37
8,319000,3,45.2
7,435000,2,46
10,649000,3,58.03
4,459000,3,55
0,409000,2,34
3,430000,3,53
1,379000,3,55.4
8,320000,2,37
4,480000,3,48.4
1,429000,3,57.14
7,425000,2,41
2,359500,3,48
8,459000,3,53
5,450000,2,47
4,495000,3,54.95
3,639000,4,67
9,290000,1,24.5
10,859000,4,67
1,629000,3,84
5,570000,3,52.26
8,399000,2,38
1,375000,2,38
4,319000,2,37.77
4,430000,3,48.35
3,950000,4,90
4,340000,1,29
10,419000,3,50
2,469000,3,53.4
4,539000,4,63
8,310000,2,33
10,829000,4,67
4,595000,3,51.26
1,299000,1,25.6
6,465000,3,53
2,499000,3,49.58
4,290000,2,36.5
4,495000,3,48.49
10,859000,4,67
8,527000,2,48
8,399000,2,38
3,390000,2,42
7,309000,1,27
5,415000,3,45.62
4,505000,3,48
4,535000,3,48
10,725000,3,58.6
1,540000,3,52
3,529000,4,64
7,600000,3,48
4,471000,2,42.5
3,299000,1,25
0,475000,2,36
10,549000,3,54
3,950000,4,90
0,615000,3,57.1
1,490000,3,60
0,399998,2,36
9,660000,4,65
8,479000,2,42
0,399000,3,45
10,235000,1,25
4,569000,3,56.2
3,950000,4,90
4,569000,3,56
5,480000,3,44.85
9,545000,3,58
5,299900,1,27
8,290000,1,24.24
2,358000,2,33.6
1,515000,3,53.3
6,529000,3,54
10,375000,1,30
2,465000,1,41
4,242000,1,27
10,570000,3,56.7
0,729000,4,68.5
4,595000,3,51.26
3,950000,4,90
10,294900,2,38.1
1,365000,2,36.32
0,555000,3,48.5
9,339000,1,20
4,247000,1,27
7,435000,2,46
10,649000,3,58
10,325000,2,37.05
7,589000,3,58
3,569000,4,64
5,420000,3,53.5
4,510000,2,30
3,950000,4,87
6,530000,2,39
0,399000,3,45
7,435000,1,28
8,444000,3,52.54
8,785000,4,69
4,449000,2,42
0,545000,2,52
2,650000,3,64.56
6,490000,3,50
